# Sizing Guidelines
Category,Component,Small,Medium,Large,Notes
Cloud Infrastructure,Document Processing Volume,50K pages/month,250K pages/month,1M+ pages/month,Monthly document processing capacity
Cloud Infrastructure,AI/ML Service Tier,Textract + Comprehend,+ Custom models,+ Advanced NLP + SageMaker,AI/ML service complexity
Cloud Infrastructure,Compute Allocation,500K GB-seconds,2M GB-seconds,10M+ GB-seconds,Lambda processing capacity
Cloud Infrastructure,Storage Volume,1 TB,5 TB,20+ TB,Document storage and archives
Cloud Infrastructure,API Request Volume,5M requests/month,20M requests/month,100M+ requests/month,API Gateway capacity
Software Licenses,A2I Human Review,1K tasks/month,5K tasks/month,25K+ tasks/month,Human-in-the-loop review capacity
Software Licenses,Monitoring Tools,Basic (3 hosts),Standard (10 hosts),Enterprise (50+ hosts),Application performance monitoring
Support & Maintenance,Support Level,Business hours,24x5 support,24x7 premium,SLA requirements

# Infrastructure Costs
Category,Component,Description,Quantity,Unit,Unit Price,Annual Cost,Year 2,Year 3,3-Year Total,Notes
Cloud Infrastructure,S3 Storage,Standard Storage for document ingestion and archives,1000,GB/Month,$0.023,"=D11*F11*12","=G11","=G11","=G11+H11+I11",Document storage
Cloud Infrastructure,Textract Document Analysis,Document Analysis API (50k pages/month),50000,Pages/Month,$0.015,"=D12*F12*12","=G12","=G12","=G12+H12+I12",OCR and document analysis
Cloud Infrastructure,Textract Forms/Tables,Forms and Tables extraction (25k pages/month),25000,Pages/Month,$0.05,"=D13*F13*12","=G13","=G13","=G13+H13+I13",Structured data extraction
Cloud Infrastructure,Comprehend Entity Recognition,Entity Recognition (25k units/month),25000,Units/Month,$0.0001,"=D14*F14*12","=G14","=G14","=G14+H14+I14",NLP entity extraction
Cloud Infrastructure,Lambda Processing,Processing functions (500k GB-seconds/month),500000,GB-Seconds/Month,$0.0000166667,"=D15*F15*12","=G15","=G15","=G15+H15+I15",Serverless compute
Cloud Infrastructure,DynamoDB Storage,On-Demand storage and throughput,1,Service/Month,$300,"=D16*F16*12","=G16","=G16","=G16+H16+I16",NoSQL database
Cloud Infrastructure,API Gateway,REST API (5M requests/month),5000000,Requests/Month,$0.0000035,"=D17*F17*12","=G17","=G17","=G17+H17+I17",API management
Cloud Infrastructure,SQS Queue,Standard Queue (10M requests/month),10000000,Requests/Month,$0.0000004,"=D18*F18*12","=G18","=G18","=G18+H18+I18",Message queuing
Cloud Infrastructure,SNS Notifications,Standard notifications (2M requests/month),2000000,Requests/Month,$0.0000005,"=D19*F19*12","=G19","=G19","=G19+H19+I19",Pub/sub messaging
Cloud Infrastructure,CloudWatch Logs,Logs and Metrics (50GB logs + 100 metrics),1,Service/Month,$660,"=D20*F20*12","=G20","=G20","=G20+H20+I20",Monitoring and logging
Cloud Infrastructure,Step Functions,Standard workflows (100k transitions/month),100000,Transitions/Month,$0.000025,"=D21*F21*12","=G21","=G21","=G21+H21+I21",Workflow orchestration
Cloud Infrastructure,ElastiCache Redis,cache.t3.micro single node,1,Instance/Month,$182,"=D22*F22*12","=G22","=G22","=G22+H22+I22",Caching layer
Cloud Infrastructure,Secrets Manager,10 secrets for API keys and credentials,10,Secrets/Month,$0.4,"=D23*F23*12","=G23","=G23","=G23+H23+I23",Secrets management
Cloud Infrastructure,VPC NAT Gateway,Single AZ NAT Gateway,1,Gateway/Month,$394,"=D24*F24*12","=G24","=G24","=G24+H24+I24",Network address translation
Cloud Infrastructure,Data Transfer Out,Outbound data transfer (500GB/month),500,GB/Month,$0.09,"=D25*F25*12","=G25","=G25","=G25+H25+I25",Egress charges
Software Licenses,Amazon A2I,Augmented AI for human review (1k tasks/month),1000,Tasks/Month,$0.04,"=D26*F26*12","=G26","=G26","=G26+H26+I26",Human-in-the-loop review
Software Licenses,Datadog Monitoring,Pro monitoring (3 hosts),3,Hosts/Month,$23,"=D27*F27*12","=G27","=G27","=G27+H27+I27",Application monitoring
Software Licenses,PagerDuty,Professional incident management (3 users),3,Users/Month,$41,"=D28*F28*12","=G28","=G28","=G28+H28+I28",Incident management
Support & Maintenance,AWS Managed Services,Managed services and monitoring (15% of cloud infrastructure),1,Service/Month,$4087,"=D29*F29*12","=G29","=G29","=G29+H29+I29",Ongoing support

# Credits
Category,Credit Type,Credit Amount,Credit Comments
Cloud Infrastructure,AWS AI Services Credit,"($5000)",35% Year 1 Textract consumption credit
Software Licenses,Partner Credit,$0,No software credits available
Support & Maintenance,Program Credit,$0,No support credits available
Hardware/Equipment,Equipment Credit,$0,No hardware credits available

# 3-Year Summary
Category,Year 1 List,Year 1 Credits,Year 1 Net,Year 2,Year 3,3-Year Total
Cloud Infrastructure,$26830,"($5000)",$21830,$26830,$26830,$75490
Software Licenses,$2784,$0,$2784,$2784,$2784,$8352
Support & Maintenance,$4087,$0,$4087,$4087,$4087,$12261
Professional Services,$82250,$0,$82250,$0,$0,$82250
TOTAL,$115951,"($5000)",$110951,$33701,$33701,$178353
